50	50	50	50	50	50
50	50	50	50	50	87
97	59	71	53	99	100
97	88	73	68	85	50
64	64	64	64	96	84
100	100	100	100	100	90
84	84	84	97	90	68
64	64	96	65	79	98
84	84	84	84	84	84
96	99	100	77	55	61
96	96	96	96	96	50
59	59	77	84	64	65
61	61	61	61	61	53
90	90	90	77	86	60
53	55	60	79	71	60
66	66	66	66	66	54
64	64	64	64	64	64
55	87	87	64	79	73
71	77	71	76	84	96
88	88	88	88	96	76
55	55	55	55	55	61
71	71	71	71	71	71
90	90	64	96	79	50
79	79	79	79	79	77
96	96	96	96	77	86
68	68	68	68	55	55
88	84	85	87	71	77
77	77	77	77	77	69
77	77	77	77	77	53
86	86	86	86	86	86
77	61	96	96	62	77
90	90	90	69	59	61
77	77	77	77	97	85
97	97	76	85	66	97
77	77	77	65	60	55
77	77	77	77	77	55
84	84	84	84	84	99
55	55	55	55	55	55
98	99	77	95	59	73
54	54	50	90	53	77
53	53	53	53	53	53
99	99	99	99	99	73
76	79	96	55	54	64
71	62	76	50	69	90
55	55	55	55	61	76
55	55	55	55	55	88
77	77	77	50	62	69
73	73	73	87	95	75
50	50	53	77	55	76
69	69	77	97	86	55
66	66	76	99	77	84
84	84	97	84	84	79
59	59	59	59	84	90
97	97	97	97	66	55
69	69	69	69	69	64
54	54	54	54	54	65
50	50	50	50	50	50
64	64	64	64	64	97
79	79	79	79	79	77
71	71	71	71	71	68
66	66	66	66	61	71
69	86	55	84	96	62
61	61	61	61	84	71
76	76	76	76	76	76
76	76	76	64	87	86
62	62	62	62	77	97
64	90	62	66	54	61
84	84	84	84	84	50
96	96	96	98	86	69
59	59	59	53	90	84
53	53	84	77	54	60
84	84	84	84	84	87
59	59	59	61	96	79
62	62	62	62	62	62
66	66	66	66	66	66
97	97	97	97	97	86
99	99	99	99	99	87
61	100	75	84	54	53
55	55	55	55	55	77
97	97	97	79	77	55
79	79	79	79	79	62
77	77	77	77	77	77
68	55	77	76	84	53
68	68	68	68	68	68
60	60	60	60	86	71
76	76	76	96	79	76
85	85	85	85	85	85
79	79	79	79	77	77
97	97	97	97	97	97
84	84	77	84	61	55
61	61	61	73	53	86
50	50	50	50	88	61
50	50	50	50	50	79
84	84	84	84	62	86
97	77	64	76	64	86
77	77	73	95	71	79
60	60	60	60	60	90
96	96	96	96	62	55
53	64	62	61	73	69
99	99	99	99	99	64
75	75	75	85	87	85
95	95	64	76	73	86
77	77	71	53	97	87
61	61	61	69	77	65
87	87	77	55	87	64
77	77	77	100	77	79
87	87	87	87	54	95
84	84	84	84	84	84
69	69	69	69	55	55
54	54	54	96	77	50
96	96	96	96	96	96
90	90	90	90	90	90
60	60	60	60	65	97
64	64	87	61	95	59
73	73	65	71	95	77
53	77	50	68	53	69
97	97	97	97	97	97
90	90	90	90	90	87
77	87	85	68	73	87
62	62	62	90	96	84
97	97	77	62	76	75
77	77	77	84	77	55
54	54	54	90	62	96
77	59	59	87	61	84
71	71	85	54	79	68
55	55	55	55	55	55
53	53	53	79	79	90
76	76	76	76	76	76
65	65	65	96	79	55
88	88	88	88	88	53
77	77	77	77	64	96
90	90	90	50	75	98
77	77	77	55	66	55
73	73	73	73	60	60
97	97	97	97	97	55
84	84	84	84	84	84
97	84	53	62	86	85
71	86	85	87	77	53
98	97	64	62	97	85
64	62	61	77	88	77
86	86	86	86	86	68
79	79	79	77	79	77
97	97	97	97	97	79
73	73	68	77	75	77
50	50	50	50	50	50
54	54	79	68	71	62
53	79	90	62	96	54
53	53	53	53	73	86
79	79	79	96	90	84
54	86	69	85	88	84
96	96	96	96	96	54
55	55	97	86	77	77
88	88	88	88	86	71
77	77	77	66	55	84
79	79	86	97	64	90
84	84	84	84	73	90
90	90	90	64	53	66
79	79	79	50	66	88
77	77	77	90	77	84
59	59	59	98	87	77
50	50	50	50	50	50
64	64	64	64	64	64
60	60	60	60	75	64
90	90	90	90	90	90
65	65	65	65	55	55
61	61	61	65	79	86
90	90	90	90	90	79
62	62	62	62	97	90
86	86	86	96	99	88
60	60	60	60	60	76
77	77	73	65	65	60
75	90	69	76	96	55
71	71	71	71	71	71
65	62	50	96	64	68
85	85	85	88	86	90
61	61	61	66	97	61
53	53	90	87	96	64
77	77	77	68	62	87
61	61	61	61	53	77
84	95	77	77	59	79
97	90	84	73	61	96
77	77	77	77	77	77
64	64	64	64	64	64
88	65	87	98	53	79
79	79	79	95	87	90
87	87	87	87	87	87
71	71	71	71	61	60
69	69	69	69	95	87
53	53	53	53	79	86
90	90	90	90	90	90
75	75	75	75	66	86
86	86	86	86	86	61
55	55	55	62	62	62
65	65	90	71	65	96
100	88	61	84	55	75
88	88	88	88	88	95
100	100	100	100	100	75
97	97	97	97	97	97
76	76	76	77	95	61
90	90	90	90	90	90
71	71	71	61	64	75
79	79	79	79	79	64
76	76	76	76	76	76
90	90	90	90	90	90
73	73	73	75	60	96
62	62	77	77	95	54
60	60	60	87	73	68
66	66	66	66	61	73
71	71	71	71	71	53
76	99	98	84	54	60
61	61	76	79	98	85
90	90	90	90	76	98
65	65	98	79	55	79
86	64	90	54	90	55
73	73	73	73	73	71
73	73	73	73	73	62
68	87	76	77	76	54
76	76	76	76	76	87
96	96	96	96	96	77
64	53	64	55	55	64
62	62	62	62	62	68
53	53	53	53	73	60
50	50	50	50	50	50
96	96	96	77	84	64
73	73	73	73	73	77
100	100	100	100	100	55
68	68	68	68	68	99
60	60	60	71	90	90
95	95	95	53	55	90
99	99	99	99	86	79
64	64	64	64	61	55
90	90	90	90	90	90
90	76	76	55	87	99
90	90	90	90	90	79
65	65	65	65	65	50
53	53	53	53	53	84
77	55	62	75	76	71
85	85	85	85	85	75
90	90	90	90	68	54
53	53	53	85	95	86
97	97	97	97	77	50
86	86	86	86	86	77
76	90	90	76	71	87
55	55	55	55	55	55
71	71	71	76	62	97
86	71	86	85	79	76
61	61	61	61	90	86
54	55	90	85	100	79
73	73	73	53	96	75
62	79	53	55	98	60
90	90	90	90	62	87
66	66	66	66	66	66
84	84	84	84	84	84
71	71	71	71	79	59
79	79	79	55	60	62
88	88	84	90	96	90
53	53	53	53	53	53
87	87	86	79	77	96
77	77	77	75	77	79
55	55	55	55	87	76
53	53	66	75	64	64
62	62	98	55	95	71
87	87	66	84	98	76
69	69	69	53	75	60
76	76	76	76	76	76
54	54	54	54	54	54
64	64	64	86	62	90
86	86	90	77	95	55
84	84	84	84	84	84
96	96	99	85	97	62
77	77	77	77	77	69
65	84	100	90	84	96
77	77	77	77	77	77
77	77	77	77	69	64
100	100	100	100	100	53
53	53	53	64	90	77
71	79	50	69	61	84
61	61	64	100	85	90
98	98	98	86	62	97
79	79	79	68	62	86
73	73	73	73	73	98
55	55	55	84	96	79
76	76	76	75	62	84
54	54	54	84	97	77
71	71	71	95	87	99
75	75	75	75	75	75
53	53	77	50	64	90
95	95	90	76	55	68
95	95	95	77	55	79
79	79	79	61	64	60
76	76	76	76	76	76
90	69	55	86	71	77
97	97	97	97	97	97
64	64	64	64	64	53
59	59	59	59	96	97
64	87	62	79	76	79
64	64	64	64	64	64
