101	143	22	98	35	48	115	149
100	25	65	129	43	131	142	63
41	24	126	45	74	109	54	75
6	83	36	6	132	62	47	3
77	50	137	74	125	7	12	87
112	23	149	36	109	138	75	113
23	127	80	125	132	148	80	38
132	32	22	78	87	142	115	134
147	84	111	33	35	74	46	107
12	68	106	92	135	1	57	84
3	25	149	93	121	9	141	16
79	47	2	17	127	107	141	125
62	128	67	128	107	119	48	130
108	9	60	14	7	28	94	85
42	31	21	14	61	62	72	4
131	132	147	73	79	80	123	19
22	51	40	123	55	11	55	14
67	150	134	107	61	86	19	90
110	119	129	112	70	146	14	86
53	38	7	103	94	36	60	112
10	51	9	75	32	23	88	11
31	55	51	109	113	140	24	108
41	59	95	18	37	56	17	74
128	63	46	123	58	26	56	94
135	2	132	16	78	46	47	124
29	9	54	24	18	110	83	6
33	121	74	7	47	95	60	69
11	4	119	38	74	70	69	33
2	131	140	39	126	48	5	76
70	117	74	46	126	40	18	112
17	37	43	96	2	126	78	111
65	104	7	131	34	77	41	118
14	19	149	108	127	141	112	140
123	72	56	115	7	93	13	49
22	144	79	5	44	25	57	134
98	97	137	11	80	149	66	118
39	115	144	88	58	91	42	150
128	81	46	120	69	115	3	85
77	24	28	146	19	108	60	28
51	6	123	139	52	1	26	62
61	106	54	7	101	13	104	91
47	82	106	114	58	27	3	118
6	116	31	114	76	47	110	107
108	66	70	47	78	66	3	10
116	87	20	143	47	34	76	25
19	139	133	38	63	142	35	137
82	80	141	89	143	65	28	15
81	143	109	42	37	57	92	129
28	25	63	37	3	91	138	24
93	62	70	105	42	106	135	30
69	117	93	75	110	85	12	40
75	139	9	11	103	17	83	52
127	106	108	28	11	116	150	121
81	93	130	7	69	95	96	16
109	145	12	24	77	113	76	134
118	15	137	72	88	82	103	97
87	27	15	131	14	85	120	1
36	49	61	76	46	50	129	21
23	45	23	133	67	67	147	80
33	16	59	10	123	70	111	2
126	1	112	126	17	107	129	41
75	149	146	22	141	144	148	146
119	63	24	7	35	57	136	145
38	87	18	139	32	14	91	51
32	123	149	57	31	38	129	59
20	9	67	5	128	133	100	62
